0,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1966,Brook Lopez,2009-10,21,NJN,NBA,C,82,82,36.9,6.9,13.8,0.499,0,0,0,6.9,13.7,0.5,0.499,5.1,6.2,0.817,3.3,5.4,8.6,2.3,0.7,1.7,2.5,3.1,18.8
1967,Brook Lopez,2010-11,22,NJN,NBA,C,82,82,35.2,7.9,16,0.492,0,0,0,7.9,16,0.492,0.492,4.7,6,0.787,2.4,3.5,6,1.6,0.6,1.5,2.1,2.9,20.4
1968,Brook Lopez,2011-12,23,NJN,NBA,C,5,5,27.2,7.6,15.4,0.494,0,0,7.6,15.4,0.494,0.494,4,6.4,0.625,1.6,2,3.6,1.2,0.2,0.8,1.2,1.6,19.2,
1969,Brook Lopez,2012-13,24,BRK,NBA,C,74,74,30.4,7.7,14.8,0.521,0,0,0,7.7,14.8,0.522,0.521,4,5.3,0.758,2.8,4.1,6.9,0.9,0.4,2.1,1.8,2.1,19.4
1970,Brook Lopez,2013-14,25,BRK,NBA,C,17,17,31.4,7.6,13.5,0.563,0,0.1,0,7.6,13.4,0.566,0.563,5.5,6.8,0.817,2.3,3.7,6,0.9,0.5,1.8,1.6,3.1,20.7
1971,Brook Lopez,2014-15,26,BRK,NBA,C,72,44,29.2,7,13.7,0.513,0,0.1,0.1,7,13.6,0.517,0.513,3.1,3.8,0.814,3,4.5,7.4,0.7,0.6,1.8,1.4,2.9,17.2
1972,Brook Lopez,2015-16,27,BRK,NBA,C,73,73,33.7,8.1,15.8,0.511,0,0.2,0.143,8.1,15.7,0.515,0.512,4.3,5.5,0.787,2.8,5.1,7.8,2,0.8,1.7,2.4,2.9,20.6
1973,Brook Lopez,2016-17,28,BRK,NBA,C,75,75,29.6,7.4,15.6,0.474,1.8,5.2,0.346,5.6,10.5,0.536,0.531,3.9,4.9,0.81,1.6,3.8,5.4,2.3,0.5,1.7,2.5,2.6,20.5
1974,Brook Lopez,2017-18,29,LAL,NBA,C,74,72,23.4,5,10.7,0.465,1.5,4.4,0.345,3.5,6.3,0.549,0.536,1.5,2.1,0.703,1,3,4,1.7,0.4,1.3,1.3,2.6,13
1975,Robin Lopez,2008-09,20,PHO,NBA,C,60,7,10.2,1.2,2.3,0.518,0,0,0,1.2,2.3,0.522,0.518,0.8,1.1,0.691,0.9,1.1,2,0.1,0.2,0.7,0.5,1.6,3.2
1976,Robin Lopez,2009-10,21,PHO,NBA,C,51,31,19.3,3.4,5.7,0.588,0,0,3.4,5.7,0.588,0.588,1.7,2.5,0.704,2,2.8,4.9,0.1,0.2,1,0.8,2.3,8.4,
1977,Robin Lopez,2010-11,22,PHO,NBA,C,67,56,14.8,2.7,5.3,0.501,0,0,2.7,5.3,0.501,0.501,1.1,1.5,0.74,1.2,2,3.2,0.1,0.3,0.7,0.7,2.1,6.4,
1978,Robin Lopez,2011-12,23,PHO,NBA,C,64,0,14,1.9,4.2,0.461,0,0,1.9,4.2,0.461,0.461,1.6,2.2,0.714,1.4,1.9,3.3,0.3,0.3,0.9,0.7,2,5.4,
1979,Robin Lopez,2012-13,24,NOH,NBA,C,82,82,26,4.7,8.8,0.534,0,0,4.7,8.8,0.534,0.534,2,2.5,0.778,2.8,2.9,5.6,0.8,0.4,1.6,1.3,2,11.3,
1980,Robin Lopez,2013-14,25,POR,NBA,C,82,82,31.7,4.3,7.9,0.551,0,0,0,4.3,7.8,0.552,0.551,2.4,3,0.818,4,4.6,8.5,0.9,0.3,1.7,1,2.4,11.1
1981,Robin Lopez,2014-15,26,POR,NBA,C,59,59,27.8,4,7.4,0.535,0,0,0,4,7.4,0.537,0.535,1.7,2.2,0.772,3.2,3.5,6.7,0.9,0.3,1.4,1.2,2.1,9.6
1982,Robin Lopez,2015-16,27,NYK,NBA,C,82,82,27.1,4.4,8.1,0.539,0,0,0,4.4,8.1,0.54,0.539,1.6,2,0.795,3.3,4.1,7.3,1.4,0.2,1.6,1.6,2.2,10.3
1983,Robin Lopez,2016-17,28,CHI,NBA,C,81,81,28,4.7,9.6,0.493,0,0,0,4.7,9.5,0.494,0.493,0.9,1.3,0.721,3,3.4,6.4,1,0.2,1.4,1.1,1.9,10.4
1984,Robin Lopez,2017-18,29,CHI,NBA,C,64,64,26.4,5.3,10.1,0.53,0.1,0.2,0.286,5.3,9.9,0.536,0.533,1.1,1.4,0.756,2.1,2.4,4.5,1.9,0.2,0.8,1.7,1.7,11.8
1985,Kevin Love,2008-09,20,MIN,NBA,C,81,37,25.3,3.9,8.5,0.459,0,0.2,0.105,3.9,8.3,0.469,0.461,3.3,4.1,0.789,3.4,5.7,9.1,1,0.4,0.6,1.5,2.5,11.1
1986,Kevin Love,2009-10,21,MIN,NBA,PF,60,22,28.6,4.9,10.8,0.45,0.6,1.8,0.33,4.3,9,0.474,0.478,3.8,4.6,0.815,3.8,7.2,11,2.3,0.7,0.4,2,2.3,14
1987,Kevin Love,2010-11,22,MIN,NBA,PF,73,73,35.8,6.6,14.1,0.47,1.2,2.9,0.417,5.4,11.2,0.483,0.513,5.8,6.8,0.85,4.5,10.7,15.2,2.5,0.6,0.4,2.1,2,20.2
1988,Kevin Love,2011-12,23,MIN,NBA,PF,55,55,39,8.6,19.3,0.448,1.9,5.1,0.372,6.7,14.1,0.475,0.497,6.9,8.4,0.824,4.1,9.2,13.3,2,0.9,0.5,2.3,2.8,26
1989,Kevin Love,2012-13,24,MIN,NBA,PF,18,18,34.3,5.8,16.6,0.352,1.1,5.1,0.217,4.7,11.4,0.413,0.386,5.6,7.9,0.704,3.6,10.4,14,2.3,0.7,0.5,2.2,1.9,18.3
1990,Kevin Love,2013-14,25,MIN,NBA,PF,77,77,36.3,8.4,18.5,0.457,2.5,6.6,0.376,6,11.9,0.502,0.524,6.8,8.2,0.821,2.9,9.6,12.5,4.4,0.8,0.5,2.5,1.8,26.1
1991,Kevin Love,2014-15,26,CLE,NBA,PF,75,75,33.8,5.5,12.7,0.434,1.9,5.2,0.367,3.6,7.5,0.48,0.509,3.4,4.3,0.804,1.9,7.9,9.7,2.2,0.7,0.5,1.6,1.9,16.4
1992,Kevin Love,2015-16,27,CLE,NBA,PF,77,77,31.5,5.3,12.7,0.419,2.1,5.7,0.36,3.3,7,0.467,0.499,3.4,4.1,0.822,1.9,8,9.9,2.4,0.8,0.5,1.8,2.1,16
1993,Kevin Love,2016-17,28,CLE,NBA,PF,60,60,31.4,6.2,14.5,0.427,2.4,6.5,0.373,3.8,8,0.471,0.51,4.3,4.9,0.871,2.5,8.6,11.1,1.9,0.9,0.4,2,2.1,19
1994,Kevin Love,2017-18,29,CLE,NBA,C,59,59,28,5.7,12.4,0.458,2.3,5.6,0.415,3.3,6.8,0.494,0.552,4,4.5,0.88,1.7,7.5,9.3,1.7,0.7,0.4,1.5,2,17.6
1995,Kyle Lowry,2006-07,20,MEM,NBA,PG,10,0,17.5,1.4,3.8,0.368,0.3,0.8,0.375,1.1,3,0.367,0.408,2.5,2.8,0.893,1.2,1.9,3.1,3.2,1.4,0.1,1.2,2,5.6
1996,Kyle Lowry,2007-08,21,MEM,NBA,PG,82,9,25.5,3.1,7.2,0.432,0.4,1.7,0.257,2.7,5.5,0.487,0.463,3,4.2,0.698,0.5,2.5,3,3.6,1.1,0.3,1.5,2.3,9.6
1997,Kyle Lowry,2008-09,22,TOT,NBA,PG,77,21,21.8,2.5,5.6,0.435,0.3,1.3,0.255,2.1,4.4,0.488,0.464,2.4,2.9,0.801,0.3,2.1,2.5,3.6,0.9,0.2,1.5,1.9,7.6
1998,Kyle Lowry,2008-09,22,MEM,NBA,PG,49,21,21.9,2.3,5.6,0.412,0.3,1.4,0.246,1.9,4.1,0.468,0.443,2.6,3.3,0.801,0.3,2,2.3,3.6,1,0.2,1.6,1.8,7.6
1999,Kyle Lowry,2008-09,22,HOU,NBA,PG,28,0,21.7,2.8,5.8,0.475,0.3,1,0.276,2.5,4.8,0.519,0.5,1.9,2.3,0.8,0.5,2.3,2.8,3.5,0.8,0.3,1.4,2,7.6
2000,Kyle Lowry,2009-10,23,HOU,NBA,PG,68,0,24.3,2.7,6.8,0.397,0.5,2,0.272,2.2,4.8,0.448,0.436,3.2,3.8,0.827,1.3,2.3,3.6,4.5,0.9,0.1,1.7,2.5,9.1
2001,Kyle Lowry,2010-11,24,HOU,NBA,PG,75,71,34.2,4.6,10.8,0.426,1.7,4.6,0.376,2.9,6.2,0.464,0.506,2.6,3.3,0.765,1.2,2.9,4.1,6.7,1.4,0.3,2.1,2.8,13.5
2002,Kyle Lowry,2011-12,25,HOU,NBA,PG,47,38,32.1,4.5,10.9,0.409,1.7,4.5,0.374,2.8,6.4,0.434,0.486,3.6,4.2,0.864,0.8,3.7,4.5,6.6,1.6,0.3,2.8,2.8,14.3
2003,Kyle Lowry,2012-13,26,TOR,NBA,PG,68,52,29.7,3.7,9.2,0.401,1.5,4.1,0.362,2.2,5.1,0.433,0.482,2.8,3.5,0.795,0.8,3.9,4.7,6.4,1.4,0.4,2.3,3.2,11.6
2004,Kyle Lowry,2013-14,27,TOR,NBA,PG,79,79,36.2,5.8,13.7,0.423,2.4,6.3,0.38,3.4,7.3,0.46,0.511,4,4.9,0.813,1.1,3.6,4.7,7.4,1.5,0.2,2.5,3.4,17.9
2005,Kyle Lowry,2014-15,28,TOR,NBA,PG,70,70,34.5,6.1,14.9,0.412,1.9,5.6,0.338,4.3,9.3,0.457,0.476,3.6,4.5,0.808,0.8,3.9,4.7,6.8,1.6,0.2,2.5,3,17.8
2006,Kyle Lowry,2015-16,29,TOR,NBA,PG,77,77,37,6.6,15.6,0.427,2.8,7.1,0.388,3.9,8.5,0.461,0.516,5.2,6.4,0.811,0.7,4,4.7,6.4,2.1,0.4,2.9,2.7,21.2
2007,Kyle Lowry,2016-17,30,TOR,NBA,PG,60,60,37.4,7.1,15.3,0.464,3.2,7.8,0.412,3.9,7.5,0.518,0.569,5,6.1,0.819,0.8,4,4.8,7,1.5,0.3,2.9,2.8,22.4
2008,Kyle Lowry,2017-18,31,TOR,NBA,PG,78,78,32.2,5.2,12.1,0.427,3.1,7.6,0.399,2.1,4.5,0.474,0.553,2.9,3.3,0.854,0.8,4.7,5.6,6.9,1.1,0.2,2.3,2.5,16.2
2009,Timothe Luwawu-Cabarrot,2016-17,21,PHI,NBA,SF,69,19,17.2,2.1,5.2,0.402,0.7,2.3,0.311,1.4,2.9,0.475,0.471,1.5,1.8,0.854,0.4,1.8,2.2,1.1,0.5,0.1,1.1,2.2,6.4
2010,Timothe Luwawu-Cabarrot,2017-18,22,PHI,NBA,SF,52,7,15.5,1.9,5.1,0.375,1,3,0.335,0.9,2.1,0.431,0.474,0.9,1.1,0.793,0.3,1.1,1.4,1,0.2,0.1,0.7,1.9,5.8
2011,Tyler Lydon,2017-18,21,DEN,NBA,PF,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2012,Trey Lyles,2015-16,20,UTA,NBA,PF,80,33,17.3,2.4,5.5,0.438,0.6,1.6,0.383,1.8,3.9,0.461,0.494,0.7,1,0.695,0.7,3,3.7,0.7,0.3,0.2,0.8,1.4,6.1
2013,Trey Lyles,2016-17,21,UTA,NBA,PF,71,4,16.3,2.2,6.2,0.362,0.9,2.9,0.319,1.3,3.3,0.4,0.436,0.8,1.1,0.722,0.7,2.6,3.3,1,0.4,0.3,0.9,1.4,6.2
2014,Trey Lyles,2017-18,22,DEN,NBA,PF,73,2,19.1,3.7,7.5,0.491,1.1,3,0.381,2.6,4.5,0.563,0.566,1.4,2,0.706,0.8,4,4.8,1.2,0.4,0.5,0.8,1.5,9.9
2015,Shelvin Mack,2011-12,21,WAS,NBA,PG,64,0,12.2,1.4,3.4,0.4,0.2,0.7,0.286,1.2,2.8,0.427,0.427,0.7,0.9,0.712,0.2,1.3,1.4,2,0.4,0,0.8,0.8,3.6
2016,Shelvin Mack,2012-13,22,TOT,NBA,PG-SG,31,3,13.4,1.9,4.1,0.46,0.6,1.6,0.367,1.3,2.5,0.519,0.532,0.3,0.5,0.563,0.1,1.2,1.3,2.2,0.5,0,1.1,1.3,4.6
2017,Shelvin Mack,2012-13,22,WAS,NBA,PG,7,2,20.1,2.3,5.7,0.4,0.6,1.9,0.308,1.7,3.9,0.444,0.45,0.1,0.3,0.5,0.4,1.9,2.3,3.3,0.9,0,1.1,1.4,5.3
2018,Shelvin Mack,2012-13,22,PHI,NBA,SG,4,0,1.8,0.3,0.5,0.5,0,0.3,0,0.3,0.3,1,0.5,0,0,0,0,0,0.3,0,0,0.5,0.3,0.5,
2019,Shelvin Mack,2012-13,22,ATL,NBA,PG,20,1,13.4,2.1,4.2,0.488,0.7,1.8,0.4,1.4,2.5,0.551,0.571,0.4,0.7,0.571,0,1.2,1.2,2.2,0.5,0,1.2,1.4,5.2
2020,Shelvin Mack,2013-14,23,ATL,NBA,PG,73,11,20.4,2.9,6.9,0.417,0.8,2.5,0.337,2,4.3,0.464,0.479,0.9,1,0.865,0.3,1.9,2.2,3.7,0.7,0,1.2,1.4,7.5
2021,Shelvin Mack,2014-15,24,ATL,NBA,PG,55,0,15.1,2.1,5.3,0.401,0.7,2.3,0.315,1.4,3,0.467,0.469,0.5,0.6,0.806,0.1,1.3,1.4,2.8,0.5,0,0.9,0.6,5.4
2022,Shelvin Mack,2015-16,25,TOT,NBA,PG,52,27,20.3,3.5,8,0.439,0.8,2.4,0.312,2.8,5.6,0.493,0.486,0.9,1.2,0.738,0.3,2.2,2.5,3.6,0.7,0.1,1.8,1.4,8.6
2023,Shelvin Mack,2015-16,25,ATL,NBA,PG,24,0,7.5,1.7,4,0.421,0.2,1.1,0.148,1.5,2.8,0.529,0.442,0.4,0.5,0.75,0.1,0.8,0.9,1.6,0.3,0,0.6,0.3,3.9
2024,Shelvin Mack,2015-16,25,UTA,NBA,PG,28,27,31.4,5.1,11.4,0.444,1.3,3.5,0.357,3.8,7.9,0.482,0.498,1.3,1.8,0.735,0.4,3.4,3.8,5.3,0.9,0.1,2.9,2.3,12.7
2025,Shelvin Mack,2016-17,26,UTA,NBA,PG,55,9,21.9,3.1,6.9,0.446,0.7,2.2,0.308,2.4,4.7,0.51,0.495,1,1.4,0.688,0.4,1.9,2.3,2.8,0.8,0.1,1.6,1.8,7.8
2026,Shelvin Mack,2017-18,27,ORL,NBA,PG,69,3,19.8,2.6,6,0.43,0.7,2,0.345,1.9,4,0.473,0.488,1,1.4,0.711,0.3,2.1,2.4,3.9,0.8,0.1,1.3,1.3,6.9
2027,Josh Magette,2017-18,28,ATL,NBA,PG,18,0,12,0.8,2.6,0.326,0.4,1.2,0.364,0.4,1.3,0.292,0.413,0.4,0.4,1,0.1,0.9,1.1,3.2,0.4,0.1,0.5,0.9,2.6
2028,Ian Mahinmi,2007-08,21,SAS,NBA,C,6,0,3.8,1,2,0.5,0,0,1,2,0.5,0.5,1.5,1.5,1,0,0.8,0.8,0.2,0,0.7,0.3,0.7,3.5,
2029,Ian Mahinmi,2008-09,22,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,Ian Mahinmi,2009-10,23,SAS,NBA,C,26,0,6.3,1.3,2.1,0.636,0,0,1.3,2.1,0.636,0.636,1.2,1.8,0.66,0.5,1.5,2,0.1,0.1,0.3,0.6,1.2,3.9,
2031,Ian Mahinmi,2010-11,24,DAL,NBA,C,56,0,8.7,1,1.8,0.561,0,0,0,1,1.7,0.573,0.561,1.1,1.5,0.768,0.8,1.4,2.1,0.1,0.3,0.3,0.4,1.9,3.1
2032,Ian Mahinmi,2011-12,25,DAL,NBA,C,61,12,18.7,2.1,3.9,0.546,0,0,0,2.1,3.9,0.549,0.546,1.5,2.4,0.639,1.8,3,4.7,0.2,0.6,0.5,0.8,2.9,5.8
2033,Ian Mahinmi,2012-13,26,IND,NBA,C,80,2,16.5,1.9,4.1,0.453,0,0,0,1.9,4.1,0.456,0.453,1.3,2.1,0.608,1.4,2.5,3.9,0.3,0.5,0.8,1.2,2.5,5
2034,Ian Mahinmi,2013-14,27,IND,NBA,C,77,1,16.2,1.2,2.5,0.481,0,0,0,1.2,2.4,0.484,0.481,1.2,1.9,0.621,1.4,1.9,3.3,0.3,0.5,0.9,0.8,2.7,3.5
2035,Ian Mahinmi,2014-15,28,IND,NBA,C,61,6,18.8,1.9,3.5,0.552,0,0,1.9,3.5,0.552,0.552,0.5,1.7,0.304,1.7,4.1,5.8,0.5,0.5,0.8,1,2.8,4.3,
2036,Ian Mahinmi,2015-16,29,IND,NBA,C,71,71,25.6,3.7,6.3,0.589,0,0,3.7,6.3,0.589,0.589,1.9,3.2,0.587,1.9,5.2,7.1,1.5,0.9,1.1,1.4,3.1,9.3,
2037,Ian Mahinmi,2016-17,30,WAS,NBA,C,31,0,17.9,2.1,3.6,0.586,0,0,2.1,3.6,0.586,0.586,1.4,2.4,0.573,1.5,3.3,4.8,0.6,1.1,0.8,1.1,2.9,5.6,
2038,Ian Mahinmi,2017-18,31,WAS,NBA,C,77,0,14.9,1.8,3.2,0.556,0,0,0,1.8,3.2,0.561,0.556,1.2,1.7,0.703,1.8,2.3,4.1,0.7,0.5,0.5,1.3,3,4.8
2039,Thon Maker,2016-17,19,MIL,NBA,C,57,34,9.9,1.5,3.2,0.459,0.5,1.3,0.378,1,1.9,0.514,0.536,0.6,0.9,0.653,0.7,1.3,2,0.4,0.2,0.5,0.3,1.5,4
2040,Thon Maker,2017-18,20,MIL,NBA,C,74,12,16.7,1.8,4.3,0.411,0.4,1.4,0.298,1.3,2.9,0.467,0.46,0.9,1.3,0.699,1,2,3,0.6,0.5,0.7,0.6,2.2,4.8
2041,Boban Marjanovic,2015-16,27,SAS,NBA,C,54,4,9.4,1.9,3.2,0.603,0,0,1.9,3.2,0.603,0.603,1.6,2.1,0.763,1.4,2.2,3.6,0.4,0.2,0.4,0.5,1,5.5,
2042,Boban Marjanovic,2016-17,28,DET,NBA,C,35,0,8.4,2.1,3.8,0.545,0,0,2.1,3.8,0.545,0.545,1.3,1.7,0.81,1.3,2.4,3.7,0.3,0.2,0.3,0.3,0.7,5.5,
2043,Boban Marjanovic,2017-18,29,TOT,NBA,C,39,1,8.6,2,3.8,0.534,0,0,2,3.8,0.534,0.534,2,2.5,0.794,1.2,2.5,3.7,0.6,0.3,0.3,0.9,1.3,6,
2044,Boban Marjanovic,2017-18,29,DET,NBA,C,19,1,9,2.2,4.2,0.519,0,0,2.2,4.2,0.519,0.519,1.9,2.4,0.8,0.8,2.2,3,0.7,0.2,0.3,1.2,1.5,6.2,
2045,Boban Marjanovic,2017-18,29,LAC,NBA,C,20,0,8.3,1.9,3.5,0.551,0,0,1.9,3.5,0.551,0.551,2.1,2.6,0.788,1.7,2.7,4.4,0.4,0.3,0.3,0.7,1.2,5.9,
2046,Lauri Markkanen,2017-18,20,CHI,NBA,PF,68,68,29.7,5.5,12.7,0.434,2.1,5.9,0.362,3.4,6.8,0.497,0.518,2.1,2.4,0.843,1.2,6.3,7.5,1.2,0.6,0.6,1.2,1.5,15.2
2047,Jarell Martin,2015-16,21,MEM,NBA,PF,27,0,14.1,2,4.3,0.466,0,0.1,0,2,4.2,0.474,0.466,1.7,2.3,0.726,1.4,1.7,3.2,0.6,0.3,0.3,0.7,2.1,5.7
2048,Jarell Martin,2016-17,22,MEM,NBA,PF,42,3,13.3,1.4,3.6,0.384,0.2,0.6,0.36,1.2,3,0.389,0.414,1,1.2,0.8,1,2.9,3.9,0.2,0.4,0.2,0.7,2.2,3.9
2049,Jarell Martin,2017-18,23,MEM,NBA,PF,73,36,22.8,3,6.8,0.446,0.5,1.3,0.347,2.6,5.5,0.47,0.48,1.2,1.6,0.767,1.3,3,4.4,1,0.5,0.7,1.2,2.9,7.7
2050,Frank Mason,2017-18,23,SAC,NBA,PG,52,2,18.9,2.8,7.3,0.379,0.6,1.7,0.36,2.2,5.7,0.384,0.42,1.8,2.2,0.817,0.6,1.9,2.5,2.8,0.7,0.2,1.3,1.4,7.9
2051,Mangok Mathiang,2017-18,25,CHO,NBA,C,4,0,5,1,1.8,0.571,0,0,1,1.8,0.571,0.571,0,0.3,0,0.8,1.8,2.5,0,0.3,0,0,1.3,2,
2052,Wesley Matthews,2009-10,23,UTA,NBA,SG,82,48,24.7,3.3,6.9,0.483,0.8,2,0.382,2.6,4.9,0.525,0.539,2,2.4,0.829,0.6,1.7,2.3,1.5,0.8,0.2,1.1,1.9,9.4
2053,Wesley Matthews,2010-11,24,POR,NBA,SG,82,69,33.6,5.4,11.9,0.449,1.9,4.6,0.407,3.5,7.3,0.476,0.528,3.2,3.8,0.844,0.6,2.6,3.1,2,1.2,0.1,1.7,2.4,15.9
2054,Wesley Matthews,2011-12,25,POR,NBA,SG,66,53,33.8,4.8,11.6,0.412,2,5.1,0.383,2.8,6.5,0.434,0.496,2.2,2.6,0.86,0.8,2.5,3.4,1.7,1.5,0.2,1.1,2.2,13.7
2055,Wesley Matthews,2012-13,26,POR,NBA,SG,69,69,34.8,5.1,11.7,0.436,2.4,6.2,0.398,2.7,5.6,0.478,0.54,2.2,2.7,0.797,0.5,2.3,2.8,2.5,1.3,0.3,1.6,2.5,14.8
2056,Wesley Matthews,2013-14,27,POR,NBA,SG,82,82,33.9,5.4,12.3,0.441,2.5,6.2,0.393,3,6.1,0.49,0.541,3.1,3.7,0.837,0.6,2.9,3.5,2.4,0.9,0.2,1.3,2.1,16.4
2057,Wesley Matthews,2014-15,28,POR,NBA,SG,60,60,33.7,5.6,12.5,0.448,2.9,7.4,0.389,2.7,5.1,0.534,0.563,1.8,2.4,0.752,0.6,3.1,3.7,2.3,1.3,0.2,1.4,2.2,15.9
2058,Wesley Matthews,2015-16,29,DAL,NBA,SF,78,78,33.9,4.2,10.9,0.388,2.4,6.7,0.36,1.8,4.2,0.432,0.498,1.6,1.9,0.863,0.3,2.7,3.1,1.9,1,0.2,1,2.3,12.5
2059,Wesley Matthews,2016-17,30,DAL,NBA,SG,73,73,34.2,4.6,11.6,0.393,2.4,6.6,0.363,2.2,5,0.432,0.496,2,2.5,0.816,0.2,3.3,3.5,2.9,1.1,0.2,1.4,2.2,13.5
2060,Wesley Matthews,2017-18,31,DAL,NBA,SF,63,62,33.8,4.5,11.1,0.406,2.4,6.4,0.381,2.1,4.7,0.441,0.516,1.3,1.6,0.822,0.4,2.7,3.1,2.7,1.2,0.3,1.3,2.2,12.7
2061,Luc Mbah a Moute,2008-09,22,MIL,NBA,PF,82,52,25.8,2.8,6,0.462,0,0,0,2.8,5.9,0.466,0.462,1.7,2.3,0.729,2.3,3.6,5.9,1.1,1.1,0.5,1.2,2.5,7.2
2062,Luc Mbah a Moute,2009-10,23,MIL,NBA,PF,73,62,25.6,2.4,5.1,0.48,0.1,0.2,0.353,2.3,4.8,0.486,0.488,1.3,1.8,0.699,2.3,3.1,5.5,1.1,0.8,0.5,1,2.5,6.2
2063,Luc Mbah a Moute,2010-11,24,MIL,NBA,PF,79,52,26.5,2.5,5.4,0.463,0,0.1,0,2.5,5.3,0.47,0.463,1.7,2.4,0.707,2.1,3.2,5.3,0.9,0.9,0.4,1,2.3,6.7
2064,Luc Mbah a Moute,2011-12,25,MIL,NBA,PF,43,22,23.5,3.1,6.1,0.51,0,0.1,0.25,3.1,6,0.514,0.511,1.5,2.4,0.641,1.8,3.5,5.3,0.7,0.9,0.5,0.9,2.2,7.7
2065,Luc Mbah a Moute,2012-13,26,MIL,NBA,SF,58,45,22.9,2.6,6.5,0.401,0.2,0.6,0.351,2.4,5.9,0.406,0.418,1.2,2.2,0.571,1.5,2.9,4.4,0.9,0.7,0.2,1.2,1.4,6.7
2066,Luc Mbah a Moute,2013-14,27,TOT,NBA,PF-SF,64,7,15.7,1.4,3,0.451,0.1,0.3,0.235,1.3,2.8,0.472,0.461,0.7,1,0.687,0.9,1.4,2.3,0.6,0.5,0.2,0.6,1.1,3.5
2067,Luc Mbah a Moute,2013-14,27,SAC,NBA,SF,9,5,21.8,1.7,3.6,0.469,0.1,0.3,0.333,1.6,3.2,0.483,0.484,1,1.4,0.692,1,2,3,1.7,1,0.6,0.4,2,4.4
2068,Luc Mbah a Moute,2013-14,27,MIN,NBA,PF,55,2,14.7,1.3,2.9,0.447,0.1,0.3,0.214,1.3,2.7,0.469,0.457,0.7,1,0.685,0.9,1.3,2.2,0.4,0.4,0.2,0.7,0.9,3.3
2069,Luc Mbah a Moute,2014-15,28,PHI,NBA,PF,67,61,28.6,3.7,9.5,0.395,0.9,3,0.307,2.8,6.5,0.435,0.443,1.4,2.4,0.589,1.2,3.7,4.9,1.6,1.2,0.3,1.5,1.6,9.9
2070,Luc Mbah a Moute,2015-16,29,LAC,NBA,PF,75,61,17,1.3,2.8,0.454,0.2,0.5,0.325,1.1,2.2,0.485,0.486,0.4,0.8,0.526,0.8,1.5,2.3,0.4,0.6,0.3,0.5,1.3,3.1
2071,Luc Mbah a Moute,2016-17,30,LAC,NBA,SF,80,76,22.3,2.4,4.7,0.505,0.5,1.4,0.391,1.9,3.4,0.552,0.562,0.7,1.1,0.678,0.6,1.6,2.1,0.5,1,0.4,0.6,1.5,6.1
2072,Luc Mbah a Moute,2017-18,31,HOU,NBA,PF,61,15,25.6,2.7,5.7,0.481,1,2.8,0.364,1.7,2.8,0.599,0.572,1.1,1.6,0.684,0.4,2.7,3,0.9,1.2,0.4,1.1,1.6,7.5
2073,James Michael McAdoo,2014-15,22,GSW,NBA,PF,15,0,9.1,1.6,2.9,0.545,0,0,1.6,2.9,0.545,0.545,0.9,1.7,0.56,1,1.5,2.5,0.1,0.3,0.6,0.4,1.4,4.1,
2074,James Michael McAdoo,2015-16,23,GSW,NBA,PF,41,1,6.4,1.1,2,0.536,0,0,0.5,1.1,2,0.537,0.542,0.6,1.2,0.531,0.7,0.7,1.4,0.4,0.2,0.2,0.4,1,2.9
2075,James Michael McAdoo,2016-17,24,GSW,NBA,PF,52,2,8.8,1.2,2.3,0.53,0,0.2,0.25,1.2,2.1,0.55,0.538,0.4,0.8,0.5,0.7,1.1,1.8,0.3,0.3,0.6,0.4,0.9,2.8
2076,James Michael McAdoo,2017-18,25,PHI,NBA,PF,3,0,6,0.7,2.3,0.286,0.7,2.3,0.286,0,0,0.429,0.7,0.7,1,0,0.7,0.7,0,0,0.3,0.3,0.3,2.7,
2077,Patrick McCaw,2016-17,21,GSW,NBA,SG,71,20,15.1,1.5,3.5,0.433,0.6,1.7,0.333,0.9,1.7,0.533,0.516,0.4,0.5,0.784,0.3,1.1,1.4,1.1,0.5,0.2,0.5,0.9,4
2078,Patrick McCaw,2017-18,22,GSW,NBA,SG,57,10,16.9,1.6,3.9,0.409,0.3,1.4,0.238,1.3,2.5,0.503,0.451,0.5,0.6,0.765,0.3,1.2,1.4,1.4,0.8,0.2,0.7,1.2,4
2079,CJ McCollum,2013-14,22,POR,NBA,SG,38,0,12.5,1.9,4.7,0.416,0.8,2.1,0.375,1.2,2.6,0.449,0.5,0.6,0.9,0.676,0.2,1.1,1.3,0.7,0.4,0.1,0.9,1.4,5.3
2080,CJ McCollum,2014-15,23,POR,NBA,SG,62,3,15.7,2.6,5.9,0.436,0.9,2.2,0.396,1.7,3.6,0.46,0.511,0.8,1.2,0.699,0.2,1.2,1.5,1,0.7,0.1,0.8,1.3,6.8
2081,CJ McCollum,2015-16,24,POR,NBA,SG,80,80,34.8,8,17.9,0.448,2.5,5.9,0.417,5.6,12,0.463,0.517,2.3,2.8,0.827,0.6,2.7,3.2,4.3,1.2,0.3,2.5,2.3,20.8
