0,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
78,Justin Anderson,2015-16,22,DAL,NBA,SF,55,9,11.8,1.3,3.2,0.406,0.4,1.5,0.265,0.9,1.7,0.533,0.469,0.8,1,0.8,0.3,2.1,2.4,0.5,0.3,0.5,0.4,0.8,3.8
79,Justin Anderson,2016-17,23,TOT,NBA,SF,75,10,16.4,2.5,5.9,0.424,0.8,2.6,0.299,1.7,3.3,0.522,0.49,1.4,1.7,0.791,0.9,2.3,3.3,0.9,0.5,0.3,0.9,1.5,7.1
80,Justin Anderson,2016-17,23,DAL,NBA,SF,51,2,13.9,2.2,5.4,0.401,0.7,2.4,0.303,1.5,3,0.477,0.468,1.4,1.7,0.795,0.8,2.2,2.9,0.6,0.5,0.3,0.8,1.3,6.5
81,Justin Anderson,2016-17,23,PHI,NBA,SF,24,8,21.6,3.1,6.8,0.463,0.9,3,0.292,2.3,3.8,0.6,0.528,1.3,1.7,0.78,1.3,2.8,4,1.4,0.5,0.3,1.1,1.9,8.5
82,Justin Anderson,2017-18,24,PHI,NBA,SF,38,0,13.7,2.3,5.3,0.431,0.9,2.7,0.33,1.4,2.6,0.535,0.515,0.7,1,0.737,0.7,1.8,2.4,0.7,0.4,0.2,0.4,1.4,6.2
83,Kyle Anderson,2014-15,21,SAS,NBA,SF,33,8,10.8,0.9,2.7,0.348,0.1,0.3,0.273,0.8,2.4,0.359,0.365,0.3,0.4,0.643,0.2,2,2.2,0.8,0.5,0.2,0.3,0.8,2.2
84,Kyle Anderson,2015-16,22,SAS,NBA,SF,78,11,16,1.8,3.8,0.468,0.2,0.5,0.324,1.6,3.3,0.488,0.488,0.8,1.1,0.747,0.3,2.8,3.1,1.6,0.8,0.4,0.8,1.2,4.5
85,Kyle Anderson,2016-17,23,SAS,NBA,SF,72,14,14.2,1.3,2.9,0.445,0.2,0.6,0.375,1.1,2.3,0.462,0.481,0.6,0.8,0.789,0.5,2.4,2.9,1.3,0.7,0.4,0.5,0.9,3.4
86,Kyle Anderson,2017-18,24,SAS,NBA,SF,74,67,26.7,3.1,5.9,0.527,0.3,0.8,0.333,2.9,5.1,0.556,0.549,1.4,2,0.712,1.1,4.2,5.4,2.7,1.6,0.8,1.3,1.5,7.9
87,Ryan Anderson,2008-09,20,NJN,NBA,PF,66,30,19.9,2.4,6.2,0.393,1,2.9,0.365,1.4,3.3,0.417,0.478,1.5,1.8,0.845,1.6,3.1,4.7,0.8,0.7,0.3,1,2.4,7.4
88,Ryan Anderson,2009-10,21,ORL,NBA,PF,63,6,14.5,2.7,6.2,0.436,1.2,3.3,0.37,1.4,2.8,0.514,0.536,1.1,1.3,0.866,1.1,2.1,3.2,0.6,0.4,0.2,0.9,1.3,7.7
89,Ryan Anderson,2010-11,22,ORL,NBA,PF,64,14,22.3,3.5,8.2,0.43,2.1,5.3,0.393,1.4,2.9,0.5,0.558,1.5,1.8,0.812,2,3.5,5.5,0.8,0.5,0.6,0.8,2.1,10.6
90,Ryan Anderson,2011-12,23,ORL,NBA,PF,61,61,32.2,5.4,12.4,0.439,2.7,6.9,0.393,2.7,5.5,0.496,0.548,2.5,2.8,0.877,3.7,4,7.7,0.9,0.8,0.4,0.9,2.4,16.1
91,Ryan Anderson,2012-13,24,NOH,NBA,PF,81,22,30.9,5.8,13.8,0.423,2.6,6.9,0.382,3.2,6.9,0.464,0.519,1.9,2.2,0.844,2.4,4,6.4,1.2,0.5,0.4,1.2,2.2,16.2
92,Ryan Anderson,2013-14,25,NOP,NBA,PF,22,14,36.1,7,16.1,0.438,3,7.5,0.409,4,8.6,0.463,0.532,2.7,2.8,0.952,3,3.5,6.5,0.8,0.5,0.3,0.9,2.1,19.8
93,Ryan Anderson,2014-15,26,NOP,NBA,PF,61,5,27.5,4.8,12,0.399,2,5.9,0.34,2.8,6.1,0.457,0.483,2.1,2.5,0.854,1.8,3.1,4.8,0.9,0.5,0.3,1,1.9,13.7
94,Ryan Anderson,2015-16,27,NOP,NBA,PF,66,7,30.4,6,14.1,0.427,2,5.4,0.366,4,8.7,0.466,0.498,3,3.5,0.873,2,4,6,1.1,0.6,0.4,1.4,1.7,17
95,Ryan Anderson,2016-17,28,HOU,NBA,PF,72,72,29.4,4.5,10.7,0.418,2.8,7,0.403,1.7,3.7,0.446,0.55,1.8,2.1,0.86,1.6,3,4.6,0.9,0.4,0.2,0.8,2,13.6
96,Ryan Anderson,2017-18,29,HOU,NBA,PF,66,50,26.1,3.1,7.3,0.431,2,5.1,0.386,1.2,2.1,0.539,0.568,1.1,1.4,0.774,1.4,3.6,5,0.9,0.4,0.3,0.6,1.9,9.3
97,Ike Anigbogu,2017-18,19,IND,NBA,C,11,0,2.7,0.4,0.8,0.444,0,0,0.4,0.8,0.444,0.444,0.5,0.5,0.833,0.5,0.4,0.8,0,0.1,0.3,0.2,0.1,1.2,
98,Giannis Antetokounmpo,2013-14,19,MIL,NBA,SF,77,23,24.6,2.2,5.4,0.414,0.5,1.5,0.347,1.7,3.9,0.44,0.463,1.8,2.6,0.683,1,3.4,4.4,1.9,0.8,0.8,1.6,2.2,6.8
99,Giannis Antetokounmpo,2014-15,20,MIL,NBA,SG,81,71,31.4,4.7,9.6,0.491,0.1,0.5,0.159,4.6,9.1,0.511,0.496,3.2,4.3,0.741,1.2,5.5,6.7,2.6,0.9,1,2.1,3.1,12.7
100,Giannis Antetokounmpo,2015-16,21,MIL,NBA,PG,80,79,35.3,6.4,12.7,0.506,0.4,1.4,0.257,6.1,11.3,0.537,0.52,3.7,5.1,0.724,1.4,6.2,7.7,4.3,1.2,1.4,2.6,3.2,16.9
101,Giannis Antetokounmpo,2016-17,22,MIL,NBA,SF,80,80,35.6,8.2,15.7,0.521,0.6,2.3,0.272,7.6,13.5,0.563,0.541,5.9,7.7,0.77,1.8,7,8.8,5.4,1.6,1.9,2.9,3.1,22.9
102,Giannis Antetokounmpo,2017-18,23,MIL,NBA,PF,75,75,36.7,9.9,18.7,0.529,0.6,1.9,0.307,9.3,16.8,0.554,0.545,6.5,8.5,0.76,2.1,8,10,4.8,1.5,1.4,3,3.1,26.9
103,Carmelo Anthony,2003-04,19,DEN,NBA,SF,82,82,36.5,7.6,17.9,0.426,0.8,2.6,0.322,6.8,15.3,0.444,0.449,5,6.4,0.777,2.2,3.8,6.1,2.8,1.2,0.5,3,2.7,21
104,Carmelo Anthony,2004-05,20,DEN,NBA,SF,75,75,34.8,7.1,16.4,0.431,0.6,2.1,0.266,6.5,14.3,0.455,0.448,6.1,7.6,0.796,1.9,3.8,5.7,2.6,0.9,0.4,3,3.1,20.8
105,Carmelo Anthony,2005-06,21,DEN,NBA,SF,80,80,36.8,9.5,19.7,0.481,0.5,1.9,0.243,9,17.8,0.506,0.493,7.2,8.9,0.808,1.5,3.4,4.9,2.7,1.1,0.5,2.7,2.9,26.5
106,Carmelo Anthony,2006-07,22,DEN,NBA,SF,65,65,38.2,10.6,22.4,0.476,0.6,2.3,0.268,10,20.1,0.499,0.489,7.1,8.7,0.808,2.2,3.8,6,3.8,1.2,0.4,3.6,3.1,28.9
107,Carmelo Anthony,2007-08,23,DEN,NBA,SF,77,77,36.4,9.5,19.2,0.492,0.8,2.1,0.354,8.7,17.1,0.509,0.511,6,7.7,0.786,2.3,5.1,7.4,3.4,1.3,0.5,3.3,3.3,25.7
108,Carmelo Anthony,2008-09,24,DEN,NBA,SF,66,66,34.5,8.1,18.3,0.443,1,2.6,0.371,7.2,15.7,0.455,0.469,5.6,7.1,0.793,1.6,5.2,6.8,3.4,1.1,0.4,3,3,22.8
